url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://aninews.in/news/world/middle-east/oman-negotiations-reopening-of-hormuz-are-two-separate-issues-iranian-fm-araghchi20260816111920/,,"Oman negotiations , reopening of Hormuz are two separate issues : Iranian FM Araghchi",20260816T061500Z,,aninews.in,English,India
https://www.liputan6.com/global/read/8272665/trump-pamer-peta-selat-hormuz-jadi-wilayah-baru-as,https://www.liputan6.com/amp/8272665/trump-pamer-peta-selat-hormuz-jadi-wilayah-baru-as,Trump Pamer Peta Selat Hormuz Jadi Wilayah Baru AS,20260818T174500Z,https://cdn1-production-images-kly.akamaized.net/EPceUWGWU1-A6NkzeSkrLTMBoWc=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5488493/original/037865300_1769753942-Untitled.jpg,liputan6.com,Indonesian,Indonesia
https://www.jawapos.com/internasional/2608180301/donald-trump-secara-tegas-mengancam-akan-deklarasikan-selat-hormuz-sebagai-wilayah-amerika-serikat,https://www.jawapos.com/amp/internasional/2608180301/donald-trump-secara-tegas-mengancam-akan-deklarasikan-selat-hormuz-sebagai-wilayah-amerika-serikat,Donald Trump secara Tegas Mengancam Akan Deklarasikan Selat Hormuz sebagai Wilayah Amerika Serikat,20260818T091500Z,https://cdn-assets.jawapos.com/images/1/2026/08/18/donald-trump-the-guardian-MJ4pV.webp,jawapos.com,Indonesian,Indonesia
https://www.express.pk/story/2827483/iran-blunt-response-to-trump-statement-the-strait-of-hormuz-will-be-ours-alone-2827483,https://www.express.pk/story/2827483/iran-blunt-response-to-trump-statement-the-strait-of-hormuz-will-be-ours-alone-2827483?amp=1,Iran blunt response to Trump statement The Strait of Hormuz will be ours alone,20260815T174500Z,https://img.express.pk/media/images/iran-control-strait-of-hurmuz1786650607-0/iran-control-strait-of-hurmuz1786650607-0-600x450.webp,express.pk,Urdu,Pakistan
https://www.almasryalyoum.com/news/details/4340558,,أول تعليق من إيران على إعلان ترامب مضيق هرمز أرض أمريكية جديدة,20260818T174500Z,https://mediaaws-live.almasryalyoum.com/almasryalyoum/uploads/images/2026/08/18/1948420.webp,almasryalyoum.com,Arabic,Egypt
https://www.elwatannews.com/news/details/8339804,, « الخارجية الإماراتية »: استهداف السفن في مضيق هرمز أعمال قرصنة إيرانية,20260815T123000Z,https://media.elwatannews.com/media/img/Large/2026/8/15/2026_8_15_14_5_55_2.png,elwatannews.com,Arabic,Egypt
https://www.moneycontrol.com/world/two-adnoc-tankers-attacked-in-strait-of-hormuz-uae-blames-iran-calls-it-flagrant-violation-article-14005998.html,https://www.moneycontrol.com/world/two-adnoc-tankers-attacked-in-strait-of-hormuz-uae-blames-iran-calls-it-flagrant-violation-article-14005998.html/amp,"Two ADNOC tankers attacked in Strait of Hormuz ; UAE blames Iran , calls it  flagrant violation  ",20260814T153000Z,https://images.moneycontrol.com/static-mcnews/2026/08/20260814144413_ADNOC-ships.jpg,moneycontrol.com,English,India
https://www.hindustantimes.com/world-news/donald-trump-says-will-declare-strait-of-hormuz-us-territory-iran-hits-back-101786755805948.html,https://www.hindustantimes.com/world-news/donald-trump-says-will-declare-strait-of-hormuz-us-territory-iran-hits-back-101786755805948-amp.html,"Donald Trump says will declare Strait of Hormuz  US territory , Iran hits back",20260815T033000Z,,hindustantimes.com,English,India
https://news.webindia123.com/news/Articles/World/20260815/4487293.html,,  Strait of Hormuz cannot be seized by tweet or election speech : Iran hits back at Trump  US territory  remark,20260815T003000Z,,news.webindia123.com,English,India
https://www.vetogate.com/5712577,,السعودية تدين استهداف سفينتين إماراتيتين في مضيق هرمز وتحمل إيران المسؤولية,20260814T111500Z,,vetogate.com,Arabic,Egypt
